test_example_id,predicted_category
0,m
1,m
2,f
3,f
4,m
5,m
6,m
7,f
8,m
9,f
10,f
11,f
12,m
13,f
14,m
15,m
16,f
17,f
18,m
19,m
20,m
21,m
22,m
23,m
24,f
25,f
26,m
27,m
28,f
29,m
30,m
31,f
32,f
33,m
34,f
35,f
36,m
37,f
38,m
39,f
40,f
41,m
42,f
43,f
44,m
45,f
46,m
47,f
48,m
49,f
50,m
51,f
52,f
53,f
54,f
55,m
56,f
57,f
58,f
59,m
60,f
61,m
62,m
63,f
64,m
65,m
66,f
67,m
68,m
69,m
70,f
71,f
72,f
73,f
74,f
75,f
76,m
77,m
78,m
79,m
80,f
81,m
82,m
83,f
84,f
85,m
86,f
87,f
88,m
89,f
90,f
91,f
92,m
93,f
94,f
95,m
96,f
97,m
98,m
99,m
100,f
101,f
102,m
103,f
104,f
105,f
106,f
107,m
108,f
109,m
110,f
111,f
112,f
113,m
114,m
115,m
116,f
117,f
118,m
119,m
120,f
121,f
122,m
123,m
124,f
125,m
126,m
127,f
128,f
129,m
130,m
131,f
132,m
133,f
134,f
135,m
136,f
137,m
138,f
139,m
140,f
141,m
142,m
143,f
144,m
145,m
146,m
147,f
148,f
149,f
150,f
151,m
152,m
153,f
154,m
155,m
156,f
157,m
158,f
159,f
160,m
161,f
162,m
163,f
164,f
165,m
166,m
167,m
168,m
169,m
170,m
171,f
172,f
173,f
174,f
175,m
176,f
177,f
178,m
179,m
180,f
181,f
182,f
183,m
184,m
185,m
186,m
187,m
188,f
189,m
190,m
191,m
192,f
193,f
194,f
195,f
196,m
197,f
198,m
199,f
200,m
201,m
202,m
203,f
204,f
205,f
206,f
207,f
208,m
209,m
210,f
211,m
212,m
213,f
214,f
215,m
216,m
217,f
218,m
219,m
220,m
221,f
222,m
223,f
224,f
225,f
226,m
227,m
228,f
229,f
230,f
231,m
232,f
233,f
234,f
235,m
236,f
237,f
238,m
239,m
240,m
241,m
242,f
243,m
244,m
245,m
246,f
247,m
248,m
249,f
250,f
251,m
252,m
253,m
254,f
255,f
256,m
257,m
258,m
259,f
260,m
261,f
262,m
263,m
264,m
265,m
266,f
267,f
268,f
269,m
270,f
271,f
272,m
273,f
274,f
275,m
276,f
277,m
278,f
279,m
280,m
281,m
282,m
283,m
284,f
285,f
286,f
287,f
288,m
289,m
290,m
291,m
292,m
293,m
294,f
295,m
296,m
297,f
298,f
299,f
300,m
301,m
302,f
303,m
304,f
305,f
306,f
307,m
308,m
309,m
310,m
311,f
312,f
313,f
314,f
315,m
316,f
317,f
318,m
319,f
320,f
321,m
322,f
